Make,Model,Variant,Colour,Kms Driven,Yr Of Mfg,Date Of Reg,Fuel Type,Transmission,Owner Type,Closing Price
Hyundai,Creta,Sx,Red,56555,4.2021,16.06.2021,Petrol,MT,1st,1070000
Tata,Tiago,XTA,BLUE,17116,10.2017,16.02.2019,Petrol,AT,1st,300000
Hyundai,Santro,1.1 SPORTZ,FIERY RED,76833,10 2020,21/11/2020,Petrol,MT,1st,310000
Hyundai,i10,Sportz,Red,83232,1 1900,12.07.2011,Petrol,MT,1st,145000
MG,Hector,Sharp,BLACK,44063,07/01/1900,21.08.2021,Petrol,CVT,1st,935000
Maruti,A-Star,LXI,SILVER,92945,9.2010,29.10.2010,Petrol,MT,2nd,65000
DATSUN,REDI GO,S S 1.0,Bronze Grey,32326,6.2018,06/10/2018,Petrol,AT,1st,155000
Maruti,Ignis,Zeta,Grey,182131,10.2017,01.02.2018,Petrol,MT,1st,240000
Hyundai,Creta,SX+,WHITE,140178,9.2017,02.11.2017,Diesel,AT,1st,620000
Honda,City,SV,SILVER,42585,10.2016,07.01.2017,Petrol,MT,1st,475000
Hyundai,Verna,SX,WHITE,150212,06/2014,19/12/2014,Diesel,MT,1st,280000
Honda,Wr-V,VX,WHITE,109295,01/1900,29.11.2018,Petrol,MT,2nd,450000
Hyundai,Creta,Sx,Black,75231,6.2019,13.08.2019,Petrol,MT,1st,730000
Maruti,Ritz,VDI,SILVER,207586,2.2014,24.05.2014,Diesel,MT,1st,195000
Hyundai,Grand i10,SPORTZ,SILVER,54977,7.2016,04.10.2017,Petrol,MT,1st,293000
Hyundai,Grand i10,ASTA,WHITE,98084,2.2014,03.04.2014,Petrol,AT,1st,210000
Renault,KWID,RXT,BLUE,52137,8.2018,07.03.2018,Petrol,MT,1st,195000
Maruti,Swift,ZXI,WHITE,77439,5.2023,11.10.2023,Petrol,AGS,1st,520000
Nissan,Micra,XV XTRONIC,WHITE,75357,4.2015,04/07/2015,Petrol,CVT,1st,200000
Nissan,Magnite,XL,STORM WHITE,71116,10.2021,21/04/2022,Petrol,MT,1st,380000
Honda,City,VX,Red,91848,3.2017,02.05.2017,Petrol,MT,1st,360000
MG,Hector,SHARP 6 STR,BLACK,27276,1.2021,26.02.2021,Diesel,MT,1st,1025000
Maruti,Ignis,ZETA,BLUE,46039,11.2022,10.01.2023,Petrol,AMT,1st,470000
Maruti,Swift Dzire,Zxi 1.2,Pearl White,72360,11 2020,19.01.2021,Petrol,AMT,1st,460000
Hyundai,Grand i10,ASTA1.2,FIERY RED,64236,1.2019,10/4/2019,Petrol,MT,1st,370000
Kia,Seltos,GTX+,BLUE,39249,8.2024,27.11.2024,Diesel,AT,1st,1500000
Maruti,Swift Dzire,Vxi,White,199281,2.2015,18.04.2015,Petrol,MT,1st,225000
Hyundai,Grand i10,ASTA,dust,40548,10.2014,30.12.2014,Petrol,AT,3rd,290000
Maruti,Baleno,ALPHA,RED,28714,2.2023,31.03.2023,Petrol,AMT,1st,675000
Hyundai,EXTER,1.2SX SE,PERAL BLACK,10599,8.2024,19.10.2024,Petrol,AMT,1st,700000
Tata,Tigor,XZ+,BLUE,63768,11.2019,11.02.2020,Petrol,MT,1st,380000
Volkswagen,Polo,Comfortline,Silver,22426,7.2014,06.11.2014,Petrol,MT,1st,270000
Hyundai,Santro,xg,Silver,112418,9.2024,06.10.2004,Petrol,MT,2nd,46000
Maruti,Ciaz,ZETA,GRAY,61906,8.2018,30.11.2018,Petrol,AT,1st,450000
Honda,City,1.5 VX,METALLIC MODERN,76521,7.2017,23.10.2017,Petrol,CVT,1st,430000
Tata,Tiago,XZ+,BLUE,1863,5.2025,21.05.2025,Electrical,AT,1st,760000
Tata,Nexon,XZ+,RED,83301,3.2019,11.12.2019,Petrol,MT,1st,440000
Toyota,Etios,VXD,SILVER,253932,01/01/2015,26/02/2015,Diesel,MT,2nd,255000
Maruti,Baleno,ALPHA 1.2L,GREY,29097,3.2023,25.05.2023,Petrol,AGS,1st,695000
Ford,Ecosport,TITUNUIM +,GREY,87558,8.2020,16.10.2020,Petrol,AT,1st,590000
Honda,City,VX,WHITE,74162,1.2016,30.01.2016,Petrol,MT,1st,490000
Tata,Nexon Ev,XZ+,BLACK,43599,2.2022,12.04.2022,Electrical,AT,1st,710000
Hyundai,Grand i10 Nios,SPORTZ,RED,38760,10.2021,20.11.2021,Petrol,AMT,1st,470000
Volkswagen,Vento,HIGHLINE,BLUE,105128,10.2015,07.04.2016,Diesel,MT,1st,300000
Nissan,Magnite,XE,GREY,12941,1.2023,20.05.2023,Petrol,MT,1st,425000
TATA,Altroz,XZ,GREY,59396,3.2021,24.04.2021,Petrol,MT,1st,465000
Maruti,Baleno,ZETA,GREY,57443,9.2018,11.12.2018,Petrol,MT,1st,410000
Nissan,Magnite,KURO EDITION,BLACK,13989,6.2024,05.09.2024,Petrol,MT,1st,550000
MG,Hector,SMART,RED,80542,11.2020,26.04.2021,Diesel,MT,1st,740000
Renault,Duster,RXZ,BLACK,113632,8.2014,03.12.2014,Diesel,MT,2nd,270000
Maruti,Swift Dzire,VXI,WHITE,64345,12.2014,13.02.2015,Petrol,MT,1st,270000
MG,Zs Ev,EXCLUSIVE,STARRY BLACK,12714,2.2023,21.04.2023,BATTERY,AT,1st,1100000
MG,Zs Ev,EXCLUSIVE,C BLUE,82364,09 2020,22.02.2021,Electrical,AT,1st,740000
Renault,Kiger,RXE 1.0L,MOONLIGHT SILVER,63226,11.2021,14.12.2021,Petrol,MT,1st,300000
Mahindra,Tuv 300,T8,Black,132635,11.2015,21.12.2015,Diesel,MT,1st,400000
Honda,City,V,Red,333375,3.2010,23.03.2010.,Petrol,MT,1st,65000
